0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0.0,0.0,4.0,4.0,2.0,2.0,8.0,4.0,4.0,16.0,8.0,2.0,0.0,16.0,4.0,8.0,1.0,1.0,208.0
0.0,0.0,4.0,2.0,0.0,2.0,16.0,8.0,2.0,2.0,4.0,2.0,4.0,32.0,2.0,8.0,2.0,1.0,212.0
4.0,2.0,2.0,0.0,2.0,16.0,8.0,0.0,4.0,4.0,2.0,0.0,4.0,32.0,2.0,8.0,1.0,1.0,224.0
0.0,2.0,2.0,0.0,4.0,16.0,2.0,0.0,2.0,4.0,8.0,2.0,8.0,32.0,4.0,8.0,1.0,1.0,228.0
4.0,2.0,4.0,4.0,2.0,16.0,8.0,2.0,8.0,4.0,4.0,8.0,0.0,32.0,4.0,0.0,3.0,1.0,244.0
0.0,4.0,2.0,8.0,2.0,16.0,8.0,2.0,0.0,8.0,8.0,8.0,2.0,0.0,32.0,4.0,1.0,1.0,264.0
0.0,4.0,0.0,8.0,0.0,4.0,2.0,2.0,0.0,16.0,16.0,8.0,4.0,8.0,32.0,4.0,1.0,1.0,272.0
0.0,0.0,2.0,8.0,0.0,8.0,2.0,2.0,2.0,16.0,16.0,8.0,4.0,8.0,32.0,4.0,1.0,1.0,276.0
2.0,0.0,0.0,8.0,0.0,8.0,4.0,2.0,2.0,16.0,16.0,8.0,4.0,8.0,32.0,4.0,1.0,1.0,280.0
0.0,2.0,0.0,8.0,0.0,8.0,4.0,2.0,4.0,16.0,16.0,8.0,4.0,8.0,32.0,4.0,1.0,1.0,288.0
0.0,2.0,2.0,8.0,0.0,8.0,4.0,2.0,0.0,16.0,16.0,8.0,8.0,8.0,32.0,4.0,2.0,1.0,340.0
4.0,8.0,0.0,0.0,8.0,4.0,0.0,0.0,32.0,8.0,2.0,2.0,16.0,32.0,4.0,2.0,1.0,1.0,344.0
4.0,8.0,0.0,0.0,8.0,4.0,0.0,4.0,32.0,8.0,2.0,0.0,16.0,32.0,4.0,4.0,1.0,1.0,352.0
4.0,8.0,0.0,2.0,8.0,4.0,0.0,0.0,32.0,8.0,2.0,2.0,16.0,32.0,4.0,8.0,1.0,1.0,356.0
4.0,8.0,0.0,0.0,8.0,4.0,2.0,2.0,32.0,8.0,2.0,4.0,16.0,32.0,4.0,8.0,1.0,1.0,360.0
4.0,8.0,0.0,0.0,8.0,4.0,2.0,2.0,32.0,8.0,4.0,4.0,16.0,32.0,4.0,8.0,1.0,1.0,368.0
4.0,8.0,0.0,0.0,8.0,4.0,2.0,2.0,32.0,8.0,2.0,4.0,16.0,32.0,8.0,8.0,1.0,1.0,372.0
4.0,8.0,0.0,2.0,8.0,4.0,0.0,2.0,32.0,8.0,4.0,4.0,16.0,32.0,8.0,8.0,1.0,1.0,376.0
4.0,8.0,0.0,2.0,8.0,4.0,0.0,4.0,32.0,8.0,4.0,4.0,16.0,32.0,8.0,8.0,1.0,1.0,384.0
4.0,8.0,2.0,0.0,8.0,4.0,0.0,2.0,32.0,8.0,4.0,8.0,16.0,32.0,8.0,8.0,1.0,1.0,400.0
4.0,8.0,0.0,0.0,8.0,4.0,2.0,2.0,32.0,8.0,4.0,2.0,16.0,32.0,8.0,16.0,1.0,1.0,404.0
4.0,8.0,0.0,4.0,8.0,4.0,2.0,0.0,32.0,8.0,4.0,4.0,16.0,32.0,8.0,16.0,1.0,1.0,412.0
4.0,8.0,0.0,0.0,8.0,4.0,2.0,2.0,32.0,8.0,4.0,8.0,16.0,32.0,8.0,16.0,2.0,1.0,416.0
4.0,8.0,2.0,0.0,8.0,4.0,4.0,0.0,32.0,8.0,4.0,8.0,16.0,32.0,8.0,16.0,1.0,1.0,424.0
4.0,8.0,0.0,0.0,8.0,4.0,2.0,2.0,32.0,8.0,8.0,8.0,16.0,32.0,8.0,16.0,1.0,1.0,440.0
4.0,8.0,0.0,0.0,8.0,4.0,2.0,2.0,32.0,8.0,2.0,8.0,16.0,32.0,16.0,16.0,1.0,1.0,444.0
4.0,8.0,0.0,2.0,8.0,4.0,2.0,2.0,32.0,8.0,4.0,8.0,16.0,32.0,16.0,16.0,1.0,1.0,448.0
4.0,8.0,0.0,2.0,8.0,4.0,2.0,4.0,32.0,8.0,4.0,8.0,16.0,32.0,16.0,16.0,3.0,1.0,480.0
0.0,4.0,8.0,2.0,8.0,4.0,2.0,4.0,32.0,8.0,4.0,8.0,2.0,16.0,32.0,32.0,1.0,1.0,488.0
